frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
1,0.033366700033366704,1,2,car,1109,128,0.8319237232208252,,0
1,0.033366700033366704,2,2,car,1799,79,0.8004828691482544,,0
1,0.033366700033366704,3,2,car,1010,78,0.778899073600769,,0
1,0.033366700033366704,4,2,car,1037,131,0.7170900702476501,,0
1,0.033366700033366704,5,2,car,980,49,0.6649870276451111,,0
1,0.033366700033366704,6,2,car,1028,47,0.6333275437355042,,0
1,0.033366700033366704,7,2,car,1732,79,0.5643524527549744,,0
1,0.033366700033366704,8,2,car,1696,69,0.25071555376052856,,0
2,0.06673340006673341,1,2,car,1109,131,0.8085128664970398,10.7892,0
2,0.06673340006673341,2,2,car,1791,78,0.7778298854827881,28.995103765980897,0
2,0.06673340006673341,3,2,car,1010,79,0.795795738697052,3.5963999999999996,0
2,0.06673340006673341,4,2,car,1037,134,0.7546778917312622,10.7892,0
2,0.06673340006673341,5,2,car,980,49,0.701597273349762,0.0,0
2,0.06673340006673341,6,2,car,1029,47,0.6384488344192505,3.5963999999999996,0
2,0.06673340006673341,7,2,car,1724,78,0.5060030817985535,28.995103765980897,0
3,0.1001001001001001,1,2,car,1110,133,0.7730889916419983,9.169056889342546,0
3,0.1001001001001001,2,2,car,1784,77,0.7591182589530945,27.211703768048043,0
3,0.1001001001001001,3,2,car,1011,80,0.796318531036377,4.020897437140122,0
3,0.1001001001001001,4,2,car,1038,136,0.7538214325904846,9.169056889342546,0
3,0.1001001001001001,5,2,car,980,49,0.746845006942749,0.0,0
3,0.1001001001001001,6,2,car,1029,47,0.5429012775421143,1.7981999999999998,0
3,0.1001001001001001,7,2,car,1714,77,0.6299787163734436,32.56678711079741,0
4,0.13346680013346682,1,2,car,1111,134,0.7725332379341125,7.581876918019707,0
4,0.13346680013346682,2,2,car,1782,77,0.7587459087371826,20.52015063102608,0
4,0.13346680013346682,3,2,car,1012,80,0.7956061363220215,3.390718437145733,0
4,0.13346680013346682,4,2,car,1039,136,0.7533771991729736,6.455735570792843,0
4,0.13346680013346682,5,2,car,981,49,0.7461802959442139,1.1987999999999999,0
4,0.13346680013346682,6,2,car,1030,47,0.5433512926101685,2.3975999999999997,0
4,0.13346680013346682,7,2,car,1712,76,0.6308027505874634,24.244229601288637,0
4,0.13346680013346682,9,2,car,1120,31,0.3542110025882721,,0
5,0.16683350016683351,1,2,car,1113,135,0.7743692398071289,7.248775941495224,0
5,0.16683350016683351,2,2,car,1775,75,0.7172804474830627,21.876047163964515,0
5,0.16683350016683351,3,2,car,1011,81,0.8170726299285889,2.8432038442573897,0
5,0.16683350016683351,4,2,car,1040,138,0.7419254779815674,6.84734159948224,0
5,0.16683350016683351,5,2,car,981,50,0.7847439646720886,1.2715194139296497,0
5,0.16683350016683351,6,2,car,1031,48,0.552331268787384,2.8432038442573897,0
5,0.16683350016683351,7,2,car,1704,74,0.4139028489589691,25.573034143214212,0
5,0.16683350016683351,9,2,car,1121,30,0.4616205394268036,5.086077655718599,0
6,0.2002002002002002,1,2,car,1116,137,0.7830551266670227,8.201053797653078,0
6,0.2002002002002002,2,2,car,1767,74,0.7311393022537231,23.296234472583755,0
6,0.2002002002002002,3,2,car,1013,82,0.8161018490791321,3.5963999999999996,0
6,0.2002002002002002,4,2,car,1040,141,0.7547878623008728,7.50950366572918,0
6,0.2002002002002002,5,2,car,981,50,0.8004124760627747,1.0172155311437199,0
6,0.2002002002002002,6,2,car,1033,48,0.5766221880912781,3.667622755737018,0
6,0.2002002002002002,7,2,car,1695,73,0.478615939617157,26.96100933481534,0
6,0.2002002002002002,9,2,car,1123,30,0.5222941040992737,5.686407688514779,0
7,0.2335669002335669,1,2,car,1119,140,0.7984412312507629,9.362927311476897,0
7,0.2335669002335669,2,2,car,1758,73,0.7110617160797119,24.83715720689467,0
7,0.2335669002335669,3,2,car,1013,83,0.845107913017273,3.4950725657702733,0
7,0.2335669002335669,4,2,car,1041,143,0.7591644525527954,7.581876918019707,0
7,0.2335669002335669,5,2,car,982,51,0.7775700092315674,1.6953592185728665,0
7,0.2335669002335669,6,2,car,1034,49,0.5503202080726624,3.7909384590098534,0
7,0.2335669002335669,7,2,car,1688,72,0.4763511121273041,26.70527128864262,0
7,0.2335669002335669,9,2,car,1124,30,0.6166561841964722,4.942779023990451,0
8,0.26693360026693363,1,2,car,1123,142,0.7638667821884155,10.172155311437198,0
8,0.26693360026693363,2,2,car,1750,71,0.7058190107345581,25.508117614050725,0
8,0.26693360026693363,3,2,car,1015,84,0.7877375483512878,4.012683133490098,0
8,0.26693360026693363,4,2,car,1043,147,0.7792854905128479,8.779330019902847,0
8,0.26693360026693363,5,2,car,984,51,0.6960530877113342,2.297655678365784,0
8,0.26693360026693363,6,2,car,1035,49,0.533970832824707,3.7403124579726357,0
8,0.26693360026693363,7,2,car,1679,69,0.41719597578048706,27.71033713426623,0
8,0.26693360026693363,9,2,car,1127,30,0.6406084895133972,6.357597069648247,0
9,0.3003003003003003,1,2,car,1126,144,0.7548112273216248,10.49485042115894,0
9,0.3003003003003003,2,2,car,1742,69,0.6979349255561829,26.0157035878813,0
9,0.3003003003003003,3,2,car,1015,84,0.765784502029419,3.511097741803836,0
9,0.3003003003003003,4,2,car,1044,150,0.7603787183761597,9.10269372356337,0
9,0.3003003003003003,5,2,car,984,52,0.7378718256950378,2.24775,0
9,0.3003003003003003,6,2,car,1036,49,0.5602524876594543,3.707084267992838,0
9,0.3003003003003003,7,2,car,1669,67,0.45926612615585327,28.830844036942448,0
9,0.3003003003003003,9,2,car,1128,31,0.601600170135498,5.754239999999999,0
10,0.33366700033366703,1,2,car,1127,145,0.754503071308136,9.893631187789445,0
10,0.33366700033366703,2,2,car,1740,69,0.6929832696914673,23.912646297722887,0
10,0.33366700033366703,3,2,car,1015,84,0.7639951705932617,3.120975770492299,0
10,0.33366700033366703,4,2,car,1044,151,0.752690315246582,8.467372192126671,0
10,0.33366700033366703,5,2,car,984,52,0.7363326549530029,1.9979999999999998,0
10,0.33366700033366703,6,2,car,1037,49,0.5610575079917908,3.6841299651342383,0
10,0.33366700033366703,7,2,car,1666,66,0.4451644718647003,26.880340846053272,0
10,0.33366700033366703,9,2,car,1128,31,0.5871086120605469,4.7951999999999995,0
11,0.3670337003670337,1,2,car,1129,147,0.7249775528907776,9.921111199134904,0
11,0.3670337003670337,2,2,car,1734,68,0.7134348750114441,23.708978890740948,0
11,0.3670337003670337,3,2,car,1016,85,0.752311110496521,3.315716968620814,0
